job,avgsalary
Data scientist or machine learning specialist,9840
Developer  front-end,11314
Engineer  data,0
Engineer  site reliability,2050
Developer  full-stack,14864
 Developer  back-end,0
Developer  desktop or enterprise applications,3134
Developer  QA or test,3936
Student,0
Developer  mobileEducator,0
Engineering manager,22968
Database administrator,5250
Academic researcher,0
DevOps specialist,4260
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,2993
Cloud infrastructure engineer,0
Data or business analyst,1644
Designer,1847
Scientist,0
Product manager,2050
Senior Executive,100000
System administrator,5117
Blockchain,0
Marketing or sales professional,2050
Security professional,8184
