job,avgsalary
Data scientist or machine learning specialist,28031
Developer  front-end,38195
Engineer  data,39303
Engineer  site reliability,36712
Developer  full-stack,42327
 Developer  back-end,0
Developer  desktop or enterprise applications,42126
Developer  QA or test,39532
Student,26283
Developer  mobileEducator,0
Engineering manager,68326
Database administrator,26547
Academic researcher,11326
DevOps specialist,42137
Other,37195
Developer  embedded applications or devices,33443
Developer  game or graphics,60204
Project manager,27601
Cloud infrastructure engineer,42892
Data or business analyst,43908
Designer,7308
Scientist,10155
Product manager,22300
Senior Executive,60676
System administrator,31216
Blockchain,11128
Marketing or sales professional,30672
Security professional,29810
