job,avgsalary
Data scientist or machine learning specialist,69538
Developer  front-end,52400
Engineer  data,117756
Engineer  site reliability,84972
Developer  full-stack,60783
 Developer  back-end,0
Developer  desktop or enterprise applications,75705
Developer  QA or test,59076
Student,144000
Developer  mobileEducator,0
Engineering manager,41245
Database administrator,35703
Academic researcher,83436
DevOps specialist,54578
Other,61989
Developer  embedded applications or devices,54707
Developer  game or graphics,38673
Project manager,58634
Cloud infrastructure engineer,58419
Data or business analyst,77412
Designer,55288
Scientist,60000
Product manager,106509
Senior Executive,11439
System administrator,49434
Blockchain,68756
Marketing or sales professional,111168
Security professional,99336
