job,avgsalary
Data scientist or machine learning specialist,194265
Developer  front-end,174821
Engineer  data,495810
Engineer  site reliability,778632
Developer  full-stack,200653
 Developer  back-end,0
Developer  desktop or enterprise applications,283934
Developer  QA or test,584575
Student,71096
Developer  mobileEducator,0
Engineering manager,474722
Database administrator,404375
Academic researcher,142121
DevOps specialist,392130
Other,613985
Developer  embedded applications or devices,542976
Developer  game or graphics,956461
Project manager,708166
Cloud infrastructure engineer,408317
Data or business analyst,129899
Designer,494767
Scientist,208404
Product manager,206542
Senior Executive,1015543
System administrator,412296
Blockchain,2138320
Marketing or sales professional,5124005
Security professional,252539
