job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,117641
Engineer  data,55290
Engineer  site reliability,3096
Developer  full-stack,89928
 Developer  back-end,0
Developer  desktop or enterprise applications,294796
Developer  QA or test,2016
Student,1524
Developer  mobileEducator,0
Engineering manager,0
Database administrator,3535
Academic researcher,0
DevOps specialist,6318
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,1032
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,2580
Designer,3526
Scientist,0
Product manager,0
Senior Executive,0
System administrator,2016
Blockchain,1032
Marketing or sales professional,0
Security professional,4896
