job,avgsalary
Data scientist or machine learning specialist,427195
Developer  front-end,335088
Engineer  data,404555
Engineer  site reliability,430490
Developer  full-stack,380659
 Developer  back-end,0
Developer  desktop or enterprise applications,368821
Developer  QA or test,336860
Student,214139
Developer  mobileEducator,0
Engineering manager,344872
Database administrator,326622
Academic researcher,422107
DevOps specialist,448823
Other,313066
Developer  embedded applications or devices,353734
Developer  game or graphics,381366
Project manager,382317
Cloud infrastructure engineer,562050
Data or business analyst,353728
Designer,380528
Scientist,383551
Product manager,441177
Senior Executive,454035
System administrator,333386
Blockchain,651907
Marketing or sales professional,248039
Security professional,361733
