job,avgsalary
Data scientist or machine learning specialist,60448
Developer  front-end,55251
Engineer  data,48555
Engineer  site reliability,0
Developer  full-stack,51301
 Developer  back-end,0
Developer  desktop or enterprise applications,59338
Developer  QA or test,44562
Student,27122
Developer  mobileEducator,0
Engineering manager,78202
Database administrator,213446
Academic researcher,58320
DevOps specialist,53136
Other,26868
Developer  embedded applications or devices,53500
Developer  game or graphics,38860
Project manager,59996
Cloud infrastructure engineer,168208
Data or business analyst,36218
Designer,41967
Scientist,2988
Product manager,68668
Senior Executive,49494
System administrator,53601
Blockchain,50754
Marketing or sales professional,746
Security professional,0
