job,avgsalary
Data scientist or machine learning specialist,42000
Developer  front-end,15978
Engineer  data,42000
Engineer  site reliability,0
Developer  full-stack,14012
 Developer  back-end,0
Developer  desktop or enterprise applications,15486
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,7805
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,5
Cloud infrastructure engineer,5
Data or business analyst,0
Designer,4200
Scientist,0
Product manager,5
Senior Executive,0
System administrator,4200
Blockchain,0
Marketing or sales professional,0
Security professional,0
