job,avgsalary
Data scientist or machine learning specialist,240
Developer  front-end,13442
Engineer  data,38400
Engineer  site reliability,0
Developer  full-stack,17840
 Developer  back-end,0
Developer  desktop or enterprise applications,13836
Developer  QA or test,13168
Student,1704
Developer  mobileEducator,0
Engineering manager,15720
Database administrator,9809
Academic researcher,12000
DevOps specialist,17250
Other,44000
Developer  embedded applications or devices,8906
Developer  game or graphics,19200
Project manager,12000
Cloud infrastructure engineer,11280
Data or business analyst,12680
Designer,8088
Scientist,0
Product manager,12000
Senior Executive,0
System administrator,14640
Blockchain,9440
Marketing or sales professional,0
Security professional,0
