job,avgsalary
Data scientist or machine learning specialist,8286
Developer  front-end,17252
Engineer  data,13464
Engineer  site reliability,72309
Developer  full-stack,19781
 Developer  back-end,0
Developer  desktop or enterprise applications,22355
Developer  QA or test,17436
Student,15280
Developer  mobileEducator,0
Engineering manager,354988
Database administrator,14590
Academic researcher,8112
DevOps specialist,17966
Other,15540
Developer  embedded applications or devices,16126
Developer  game or graphics,21031
Project manager,28379
Cloud infrastructure engineer,15156
Data or business analyst,28480
Designer,32364
Scientist,0
Product manager,40127
Senior Executive,0
System administrator,17311
Blockchain,59101
Marketing or sales professional,32350
Security professional,22648
