job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,4800
Engineer  data,12000
Engineer  site reliability,12000
Developer  full-stack,12957
 Developer  back-end,0
Developer  desktop or enterprise applications,22400
Developer  QA or test,12000
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,6000
DevOps specialist,12000
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,8400
Project manager,22400
Cloud infrastructure engineer,23988
Data or business analyst,25329
Designer,4800
Scientist,0
Product manager,23000
Senior Executive,0
System administrator,4800
Blockchain,0
Marketing or sales professional,0
Security professional,0
