job,avgsalary
Data scientist or machine learning specialist,291084
Developer  front-end,217989
Engineer  data,291084
Engineer  site reliability,0
Developer  full-stack,98224
 Developer  back-end,0
Developer  desktop or enterprise applications,218656
Developer  QA or test,75000
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,568968
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
