job,avgsalary,avgSalaryMale,avgSalaryFemale
Data scientist or machine learning specialist,80442,87269,76258
Developer  front-end,158484,245369,147258
Engineer  data,158484,145236,147258
Engineer  site reliability,158484,123456,123654
Developer  full-stack,26598,35468,23586
 Developer  back-end,0,0,0
Developer  desktop or enterprise applications,80442,85236,75369
Developer  QA or test,84689,123658,45963
Student,80442,56396,96532
Developer  mobileEducator,0,0,0
Engineering manager,80059,100000,100000
Database administrator,3840,100000,100000
Academic researcher,158484,100000,100000
DevOps specialist,158484,100000,100000
Other,0,0,0
Developer  embedded applications or devices,61659,100000,100000
Developer  game or graphics,158484,100000,100000
Project manager,35738,100000,100000
Cloud infrastructure engineer,158484,100000,100000
Data or business analyst,81882,100000,100000
Designer,81882,100000,100000
Scientist,158484,100000,100000
Product manager,85848,100000,100000
Senior Executive,80059,100000,100000
System administrator,80442,100000,100000
Blockchain,0,0,0
Marketing or sales professional,158484,100000,100000
Security professional,80059,100000,100000
