job,avgsalary,experience,jobX
Data scientist or machine learning specialist,37879,0.5,1
Data scientist or machine learning specialist,55631,1,1
Data scientist or machine learning specialist,62523,2,1
Data scientist or machine learning specialist,121400,3,1
Data scientist or machine learning specialist,67409,4,1
Data scientist or machine learning specialist,63606,5,1
Data scientist or machine learning specialist,79865,6,1
Data scientist or machine learning specialist,77722,7,1
Data scientist or machine learning specialist,79603,8,1
Data scientist or machine learning specialist,84006,9,1
Data scientist or machine learning specialist,100147,10,1
Data scientist or machine learning specialist,110372,11,1
Data scientist or machine learning specialist,97282,12,1
Data scientist or machine learning specialist,138709,13,1
Data scientist or machine learning specialist,112672,14,1
Data scientist or machine learning specialist,97268,15,1
Data scientist or machine learning specialist,104963,16,1
Data scientist or machine learning specialist,95830,17,1
Data scientist or machine learning specialist,102092,18,1
Data scientist or machine learning specialist,125201,19,1
Data scientist or machine learning specialist,131253,20,1
Data scientist or machine learning specialist,145964,21,1
Data scientist or machine learning specialist,144609,22,1
Data scientist or machine learning specialist,120201,23,1
Data scientist or machine learning specialist,168195,24,1
Data scientist or machine learning specialist,119879,25,1
Data scientist or machine learning specialist,158136,26,1
Data scientist or machine learning specialist,111326,27,1
Data scientist or machine learning specialist,130454,28,1
Data scientist or machine learning specialist,153412,29,1
Data scientist or machine learning specialist,134176,30,1
Data scientist or machine learning specialist,120480,31,1
Data scientist or machine learning specialist,121951,32,1
Data scientist or machine learning specialist,149987,33,1
Data scientist or machine learning specialist,137092,34,1
Data scientist or machine learning specialist,135569,35,1
Data scientist or machine learning specialist,109614,36,1
Data scientist or machine learning specialist,130969,37,1
Data scientist or machine learning specialist,167224,38,1
Data scientist or machine learning specialist,97865,39,1
Data scientist or machine learning specialist,154336,40,1
Data scientist or machine learning specialist,183027,41,1
Data scientist or machine learning specialist,239700,42,1
Data scientist or machine learning specialist,110450,43,1
Data scientist or machine learning specialist,103019,44,1
Data scientist or machine learning specialist,136294,45,1
Data scientist or machine learning specialist,0,46,1
Data scientist or machine learning specialist,200000,47,1
Data scientist or machine learning specialist,200000,48,1
Data scientist or machine learning specialist,0,49,1
Data scientist or machine learning specialist,153333,50,1
Data scientist or machine learning specialist,211063,60,1
Developer  front-end,24858,0.5,2
Developer  front-end,46149,1,2
Developer  front-end,38321,2,2
Developer  front-end,53792,3,2
Developer  front-end,45162,4,2
Developer  front-end,54234,5,2
Developer  front-end,70949,6,2
Developer  front-end,73198,7,2
Developer  front-end,74337,8,2
Developer  front-end,74967,9,2
Developer  front-end,83409,10,2
Developer  front-end,85646,11,2
Developer  front-end,87942,12,2
Developer  front-end,96601,13,2
Developer  front-end,94657,14,2
Developer  front-end,95074,15,2
Developer  front-end,81196,16,2
Developer  front-end,97628,17,2
Developer  front-end,107787,18,2
Developer  front-end,101130,19,2
Developer  front-end,110293,20,2
Developer  front-end,97840,21,2
Developer  front-end,94806,22,2
